WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
# JMH version: 1.19
# VM version: JDK 11.0.5, VM 11.0.5+10-b520.30
# VM invoker: C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\jbr\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\lib\idea_rt.jar=53013:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\bin -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: simple.Main.measureName
# Parameters: (count = 4, maxQueries = 1000)

# Run progress: 0,00% complete, ETA 00:10:24
# Fork: 1 of 1
# Warmup Iteration   1: 
Count of Edges = 4 , Packets = 1000, nanotimes = 8938


Count of Edges = 4 , Packets = 1000, nanotimes = 8379


Count of Edges = 4 , Packets = 1000, nanotimes = 9078


Count of Edges = 4 , Packets = 1000, nanotimes = 9140


Count of Edges = 4 , Packets = 1000, nanotimes = 11179


Count of Edges = 4 , Packets = 1000, nanotimes = 10312


Count of Edges = 4 , Packets = 1000, nanotimes = 8929


Count of Edges = 4 , Packets = 1000, nanotimes = 10731


Count of Edges = 4 , Packets = 1000, nanotimes = 7828


Count of Edges = 4 , Packets = 1000, nanotimes = 8486


Count of Edges = 4 , Packets = 1000, nanotimes = 9098


Count of Edges = 4 , Packets = 1000, nanotimes = 9575


Count of Edges = 4 , Packets = 1000, nanotimes = 8064


Count of Edges = 4 , Packets = 1000, nanotimes = 9412


Count of Edges = 4 , Packets = 1000, nanotimes = 8634


Count of Edges = 4 , Packets = 1000, nanotimes = 7413


Count of Edges = 4 , Packets = 1000, nanotimes = 7425


Count of Edges = 4 , Packets = 1000, nanotimes = 9388


Count of Edges = 4 , Packets = 1000, nanotimes = 9304


Count of Edges = 4 , Packets = 1000, nanotimes = 7721


Count of Edges = 4 , Packets = 1000, nanotimes = 9716


Count of Edges = 4 , Packets = 1000, nanotimes = 11105


Count of Edges = 4 , Packets = 1000, nanotimes = 10467


Count of Edges = 4 , Packets = 1000, nanotimes = 7924


Count of Edges = 4 , Packets = 1000, nanotimes = 9248


Count of Edges = 4 , Packets = 1000, nanotimes = 10498


Count of Edges = 4 , Packets = 1000, nanotimes = 10996


Count of Edges = 4 , Packets = 1000, nanotimes = 10196


Count of Edges = 4 , Packets = 1000, nanotimes = 7912


Count of Edges = 4 , Packets = 1000, nanotimes = 10471


Count of Edges = 4 , Packets = 1000, nanotimes = 6621


Count of Edges = 4 , Packets = 1000, nanotimes = 10825


Count of Edges = 4 , Packets = 1000, nanotimes = 7817


